parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
89204,LACTOBACILLUS/GERMINATED SOYBEAN FERMENT FILTRATE,,Autre,,1,2,LACTOBACILLUS,Molécule chimique,Très courte (≤15),13,Autre
89686,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",Humectant,,1,7,ANGELICA GIGAS,Molécule chimique,Très courte (≤15),14,Humectant
93584,(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/EUCHEUMATOIDES/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OIIGOSACCHARIDES,"HUMECTANT, SKIN CONDITIONING",Humectant,,2,8,LINGULATUM,Molécule chimique,Très courte (≤15),10,Humectant
93584,(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/EUCHEUMATOIDES/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OIIGOSACCHARIDES,"HUMECTANT, SKIN CONDITIONING",Humectant,,3,8,REX,Molécule chimique,Très courte (≤15),3,Humectant
93584,(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/EUCHEUMATOIDES/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OIIGOSACCHARIDES,"HUMECTANT, SKIN CONDITIONING",Humectant,,4,8,SESQUIPEDALE,Molécule chimique,Très courte (≤15),12,Humectant
93584,(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/EUCHEUMATOIDES/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OIIGOSACCHARIDES,"HUMECTANT, SKIN CONDITIONING",Humectant,,6,8,EUCHEUMATOIDES,Molécule chimique,Très courte (≤15),14,Humectant
93584,(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/EUCHEUMATOIDES/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OIIGOSACCHARIDES,"HUMECTANT, SKIN CONDITIONING",Humectant,,7,8,VERMICULOPHYLLA,Molécule chimique,Très courte (≤15),15,Humectant
54172,"1,4-BUTANDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER","ABRASIVE, BINDING, FILM FORMING",Agent filmogène,,1,4,"1,4-BUTANDIOL",Molécule chimique,Très courte (≤15),13,Filmogène
54172,"1,4-BUTANDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER","ABRASIVE, BINDING, FILM FORMING",Agent filmogène,,2,4,SUCCINIC ACID,Acide,Très courte (≤15),13,Filmogène
54172,"1,4-BUTANDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER","ABRASIVE, BINDING, FILM FORMING",Agent filmogène,,3,4,ADIPIC ACID,Acide,Très courte (≤15),11,Filmogène
54172,"1,4-BUTANDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER","ABRASIVE, BINDING, FILM FORMING",Agent filmogène,,4,4,HDI COPOLYMER,Polymère,Très courte (≤15),13,Filmogène
92811,"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER","ABRASIVE, BINDING, FILM FORMING",Agent filmogène,119553-67-2,1,4,"1,4-BUTANEDIOL",Molécule chimique,Très courte (≤15),14,Filmogène
92811,"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER","ABRASIVE, BINDING, FILM FORMING",Agent filmogène,119553-67-2,2,4,SUCCINIC ACID,Acide,Très courte (≤15),13,Filmogène
92811,"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER","ABRASIVE, BINDING, FILM FORMING",Agent filmogène,119553-67-2,3,4,ADIPIC ACID,Acide,Très courte (≤15),11,Filmogène
92811,"1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER","ABRASIVE, BINDING, FILM FORMING",Agent filmogène,119553-67-2,4,4,HDI COPOLYMER,Polymère,Très courte (≤15),13,Filmogène
